day	mean(S_t)	ciLow(S_t)	ciHigh(S_t)	relerr(S_t)	mean(I_t)	ciLow(I_t)	ciHigh(I_t)	relerr(I_t)	mean(R_t)	ciLow(R_t)	ciHigh(R_t)	relerr(R_t)
102	784.875	293.23697478354586	1276.513025216454	0.6263902216486117	2508.0	1828.8645086536558	3187.135491346344	0.27078767597541636	6707.5	5559.764103319848	7855.235896680152	0.1711123215326354
103	696.625	274.59024537916133	1118.6597546208386	0.6058277475267736	2407.0	1718.3804201418393	3095.6195798581607	0.2860903946232491	6896.75	5804.4709302436295	7989.0290697563705	0.15837591180720922
104	614.625	259.7540102030166	969.4959897969834	0.5773780594622467	2307.5	1609.6451258984425	3005.3548741015575	0.3024289811924409	7078.25	6039.983740459929	8116.516259540071	0.14668403341787456
105	545.875	247.19108033306372	844.5589196669363	0.5471654127170804	2206.875	1508.3056898491786	2905.4443101508214	0.31654230989558596	7247.625	6260.935129504599	8234.3148704954	0.13613975205607365
106	489.125	234.62206787636154	743.6279321236384	0.5203228870404057	2109.5	1420.4299108044465	2798.5700891955535	0.3266509074167118	7401.75	6465.56094639242	8337.93905360758	0.1264821229584328
107	441.125	223.6721537881372	658.5778462118628	0.4929506289869375	2006.875	1327.6291351097864	2686.120864890214	0.33845947798951787	7552.375	6660.84954794206	8443.90045205794	0.11804570774861418
108	399.625	214.90971584053898	584.340284159461	0.4622215430953044	1902.25	1237.7869288210954	2566.7130711789046	0.3493037566980705	7698.5	6853.173910221522	8543.826089778477	0.10980399945164347
109	361.875	208.24545723192014	515.5045427680799	0.4245375965957302	1799.625	1155.7628019576657	2443.487198042334	0.35777575775082826	7838.875	7044.243834769277	8633.506165230723	0.10137056213177568
110	329.25	199.89792282156853	458.6020771784315	0.39286887525719505	1705.875	1081.566643357436	2330.183356642564	0.3659754417190965	7965.25	7213.777991611831	8716.72200838817	0.09434380696000366
111	304.125	194.60866211618952	413.6413378838105	0.3601030427745515	1604.75	1005.1622979816974	2204.3377020183025	0.37363309052394617	8091.5	7383.778789899875	8799.221210100124	0.08746477292221777
112	282.5	188.97995736265864	376.02004263734136	0.3310443987162527	1514.125	937.0276679024473	2091.2223320975527	0.38114246320320494	8203.75	7534.369242406388	8873.130757593612	0.08159448515539991
113	264.125	184.16903531081908	344.0809646891809	0.3027201691970881	1427.0	880.2020052868637	1973.7979947131362	0.38318009440303874	8309.125	7683.485841236395	8934.764158763604	0.07529543228241303
114	252.25	180.83218492644298	323.667815073557	0.28312315192688614	1338.125	822.6162398758905	1853.6337601241094	0.3852470883692551	8409.875	7823.936064333873	8995.813935666127	0.06967272827076817
115	238.375	177.97081970177473	298.77918029822524	0.2533998124728905	1257.625	770.879432942902	1744.370567057098	0.3870355368707667	8504.125	7957.505059750965	9050.744940249035	0.06427703499760813
116	226.375	172.66271633007105	280.087283669929	0.2372712696628557	1179.125	723.2790518089096	1634.9709481910904	0.3865967969393325	8594.625	8085.742783451999	9103.507216548001	0.05920935660927633
117	217.375	168.29544235060695	266.45455764939305	0.22578289890462583	1105.75	674.1464448818057	1537.3535551181944	0.3903265250899338	8677.0	8197.066417369415	9156.933582630585	0.05531100410632543
118	209.875	166.23665816305095	253.51334183694905	0.2079253929098227	1036.25	630.1128610001151	1442.3871389998849	0.3919296878165354	8754.0	8304.87109000685	9203.12890999315	0.05130556431267403
119	203.375	164.0109813455338	242.7390186544662	0.19355387168760277	964.0	579.7664770420956	1348.2335229579044	0.39858249269492146	8832.75	8409.580304196792	9255.919695803208	0.04790916711139893
120	197.625	162.41137919142488	232.83862080857512	0.1781840395120815	903.5	542.2551843927001	1264.7448156072999	0.39982824084925284	8899.0	8502.945441524666	9295.054558475334	0.04450551280765638
121	190.375	159.83782334133295	220.91217665866705	0.16040539282293917	848.625	509.61828900181206	1187.6317109981878	0.3994776385307856	8961.125	8592.011048627228	9330.238951372772	0.04119058169289815
122	183.125	157.35672048026967	208.89327951973033	0.14071415437395407	796.0	475.11250240972015	1116.88749759028	0.40312499697271337	9021.0	8674.94952302887	9367.05047697113	0.03836054505832275
123	179.0	155.2681337971324	202.7318662028676	0.13258025811657873	741.125	441.1166976535429	1041.1333023464572	0.40480121753612025	9080.0	8756.852950392798	9403.147049607202	0.035588882115330504
124	174.375	152.945186114259	195.804813885741	0.12289499002575477	697.25	412.23467683697135	982.2653231630286	0.4087706320014753	9128.5	8822.717644414592	9434.282355585408	0.033497546758548415
125	170.625	151.30492342946593	189.94507657053407	0.11323121799580399	651.375	382.74104751211223	920.0089524878878	0.41241059679583614	9178.125	8890.968879865255	9465.281120134745	0.03128701342973053
126	167.5	149.87341339542672	185.12658660457328	0.10523335286312413	606.5	356.0929669112211	856.9070330887789	0.4128722721991408	9226.125	8958.99130657223	9493.25869342777	0.028954050961565135
127	165.375	149.12099767740182	181.62900232259818	0.09828572833014772	566.75	331.60322029385435	801.8967797061457	0.4149038900858326	9268.0	9017.66683988338	9518.33316011662	0.02701048339626876
