day	mean(S_t)	ciLow(S_t)	ciHigh(S_t)	relerr(S_t)	mean(I_t)	ciLow(I_t)	ciHigh(I_t)	relerr(I_t)	mean(R_t)	ciLow(R_t)	ciHigh(R_t)	relerr(R_t)
97	1463.1	1303.8087042207046	1622.3912957792952	0.10887245969468617	1719.8	1311.9544282379693	2127.6455717620306	0.2371470937097515	6817.1	6260.7343683798235	7373.465631620177	0.08161324193868025
98	1414.2	1268.0488511711287	1560.3511488288714	0.10334545950280824	1551.1	1164.6940298999689	1937.505970100031	0.2491173812778229	7034.7	6511.9504372183865	7557.449562781613	0.07431014297434338
99	1367.2	1236.5582531128691	1497.841746887131	0.09555423265588855	1401.5	1029.594169050871	1773.405830949129	0.265362704922675	7231.3	6737.781721868008	7724.818278131992	0.06824751816851624
100	1323.8	1209.08843136973	1438.51156863027	0.08665324719011182	1265.7	912.6037394264273	1618.796260573573	0.27897310624442817	7410.5	6950.3474463982475	7870.6525536017525	0.06209467021142327
101	1290.4	1190.2033755130644	1390.5966244869358	0.0776477251138683	1130.4	799.9628867101959	1460.8371132898042	0.2923187484870879	7579.2	7155.1304568408295	8003.26954315917	0.055951755219438806
102	1261.7	1171.9347900658638	1351.4652099341363	0.07114623914887547	1000.6	697.834078243259	1303.365921756741	0.30258437113406056	7737.7	7351.886526023573	8123.513473976426	0.04986151879452891
103	1236.9	1155.8034623504607	1317.9965376495395	0.06556434444946191	889.5	609.9815675083221	1169.018432491678	0.3142421950440449	7873.6	7519.67826825668	8227.521731743322	0.04495043331428071
104	1213.7	1143.0488322801448	1284.3511677198553	0.0582113930294597	782.6	532.2318505114911	1032.968149488509	0.31991841232878737	8003.7	7689.1983082743	8318.201691725699	0.03929453774200676
105	1193.3	1129.0159393759204	1257.5840606240795	0.053870829317086776	679.1	453.3028054959853	904.8971945040148	0.3324947643999628	8127.6	7845.071915464638	8410.128084535363	0.03476156362706859
106	1177.8	1122.2014312173255	1233.3985687826744	0.04720544131658557	589.5	385.1305876483575	793.8694123516425	0.34668263333611965	8232.7	7979.954946178539	8485.445053821462	0.030700141365707638
107	1163.8	1113.5812432107052	1214.0187567892947	0.043150676051980315	514.2	332.3505149712607	696.0494850287394	0.3536551634164515	8322.0	8097.36983138643	8546.63016861357	0.026992329802159386
108	1150.2	1107.5939715126372	1192.806028487363	0.037042278288439395	445.0	283.2003169995322	606.7996830004678	0.36359479325947824	8404.8	8207.460643589691	8602.139356410307	0.023479363745753455
109	1140.1	1102.7360384133958	1177.463961586604	0.032772530117186255	384.1	236.41755490955092	531.7824450904491	0.38448957326334054	8475.8	8297.305494456044	8654.294505543954	0.021059310689723006
110	1132.1	1098.22390800225	1165.9760919977498	0.029923232927965542	331.0	198.8569714788091	463.1430285211909	0.39922365112142266	8536.9	8377.608704220704	8696.191295779296	0.018659149782625464
111	1125.3	1094.1127542342927	1156.4872457657073	0.027714605674671083	288.9	166.44484071157598	411.355159288424	0.42386694111604023	8585.8	8439.648851171129	8731.95114882887	0.017022426428390067
112	1119.1	1090.3698123880463	1147.8301876119535	0.025672582979138204	248.1	137.84503427828216	358.3549657217178	0.4443972822318333	8632.8	8502.158253112868	8763.44174688713	0.015133183542666441
113	1113.8	1085.9902862371125	1141.6097137628874	0.024968319054486758	210.0	113.25299226883618	306.7470077311638	0.4607000368150658	8676.2	8561.488431369731	8790.91156863027	0.01322140667922247
114	1109.5	1082.9101625287324	1136.0898374712676	0.023965603849723065	180.9	96.91030883826117	264.8896911617388	0.46428795556516766	8709.6	8609.403375513064	8809.796624486937	0.011504159144729454
115	1104.1	1078.3483657547656	1129.8516342452342	0.023323643008091834	157.6	82.14636660837824	233.05363339162176	0.4787667093377015	8738.3	8648.534790065863	8828.065209934135	0.010272617091898445
116	1100.9	1076.0243843081323	1125.7756156918679	0.02259570868550081	136.0	67.56709734722412	204.43290265277588	0.5031831077409992	8763.1	8682.003462350462	8844.19653764954	0.009254320691255315
117	1097.8	1073.1855308481695	1122.4144691518304	0.022421633404837334	115.9	57.1715167567265	174.6284832432735	0.5067168528323858	8786.3	8715.648832280143	8856.951167719855	0.008041060255153505
118	1095.2	1071.0590154613392	1119.340984538661	0.022042535188696828	98.1	46.76520112581237	149.4347988741876	0.5232905084015049	8806.7	8742.415939375922	8870.98406062408	0.0072994493537964986
119	1092.9	1069.1899980234243	1116.6100019765759	0.021694575877551282	84.9	41.60340452008417	128.19659547991586	0.5099716782086671	8822.2	8766.601431217327	8877.798568782675	0.006302120648214105
120	1091.2	1067.5539943677143	1114.8460056322858	0.021669726569176824	72.6	34.90160355085124	110.29839644914875	0.519261659079184	8836.2	8785.981243210706	8886.418756789295	0.005683297887020968
121	1089.9	1066.1325127591354	1113.6674872408648	0.021807034811326394	60.3	30.6761040051619	89.92389599483809	0.49127522379499333	8849.8	8807.193971512635	8892.406028487363	0.004814349305901037
122	1089.0	1065.3487048100214	1112.6512951899786	0.021718361055995027	51.1	26.80722189852639	75.39277810147361	0.4753968317313818	8859.9	8822.536038413396	8897.263961586603	0.0042171990187929945
123	1088.2	1064.7859751793856	1111.6140248206145	0.02151628820126306	43.9	23.121922610800333	64.67807738919967	0.47330472412755503	8867.9	8834.02390800225	8901.77609199775	0.0038200805148625697
124	1087.2	1063.990860372553	1110.409139627447	0.021347626588895267	38.1	20.114783532597645	56.08521646740236	0.4720529256536051	8874.7	8843.512754234293	8905.887245765709	0.003514174649927025
125	1086.3	1063.0168695829839	1109.583130417016	0.021433425772821636	32.8	18.39069219656241	47.20930780343758	0.4393081647389509	8880.9	8852.169812388047	8909.630187611952	0.0032350536107774623
126	1085.4	1062.2585757173727	1108.5414242826275	0.02132064149864328	28.4	15.885456153510665	40.91454384648933	0.44065295234117374	8886.2	8858.390286237114	8914.009713762887	0.0031295394840187437
127	1084.8	1061.4540704558087	1108.1459295441912	0.021520952750913782	24.7	14.17536259168847	35.22463740831153	0.42609868049844246	8890.5	8863.910162528733	8917.089837471267	0.0029908146303658668
128	1084.6	1061.2311877732652	1107.9688122267346	0.021546019017826625	19.5	11.397883417202598	27.6021165827974	0.41549315809217446	8895.9	8870.148365754765	8921.651634245234	0.0028947755983356597
129	1084.1	1061.0194676715926	1107.1805323284073	0.021290039967168557	16.8	9.91537368711619	23.68462631288381	0.409799185290703	8899.1	8874.224384308132	8923.975615691868	0.0027952956694348692
130	1083.6	1060.4561188036832	1106.7438811963166	0.021358325208856298	14.2	8.702135835532026	19.697864164467973	0.3871735327090123	8902.2	8877.58553084817	8926.814469151832	0.0027649872112321026
131	1083.2	1060.1087538184822	1106.2912461815179	0.02131762018234652	12.0	6.604440328877962	17.395559671122037	0.4496299725935032	8904.8	8880.659015461339	8928.94098453866	0.002711008056178777
132	1083.0	1059.93043296874	1106.06956703126	0.021301539271708223	9.9	5.73629231957339	14.06370768042661	0.4205765333764253	8907.1	8883.389998023424	8930.810001976577	0.0026619216104653374
133	1083.0	1059.93043296874	1106.06956703126	0.021301539271708223	8.2	4.916623496921542	11.483376503078457	0.40041176866810463	8908.8	8885.153994367714	8932.446005632284	0.0026542301580780524
134	1082.7	1059.6747167889675	1105.7252832110325	0.02126654032606677	7.2	3.9866395691744696	10.41336043082553	0.44630005983687926	8910.1	8886.332512759136	8933.867487240865	0.002667477047492692
135	1082.5	1059.5088202838701	1105.4911797161299	0.021238965095731942	6.5	3.441669114877109	9.558330885122892	0.4705124438650602	8911.0	8887.348704810021	8934.651295189979	0.00265416846481636
136	1082.3	1059.4880769575875	1105.1119230424124	0.021077264198847284	5.9	3.049522391606825	8.750477608393176	0.4831317980327416	8911.8	8888.385975179384	8935.214024820614	0.0026273059113326672
137	1082.3	1059.4880769575875	1105.1119230424124	0.021077264198847284	4.9	2.7028719706625157	7.097128029337485	0.44839347537499685	8912.8	8889.590860372553	8936.009139627446	0.0026040233851816427
138	1082.1	1059.076198499208	1105.1238015007918	0.021276962850745713	4.2	2.0994531128886864	6.300546887111314	0.5001302112169794	8913.7	8890.416869582985	8936.983130417017	0.002612061255933691
139	1082.1	1059.076198499208	1105.1238015007918	0.021276962850745713	3.3	1.8281484578085248	4.771851542191475	0.4460156188459016	8914.6	8891.458575717374	8937.741424282627	0.0025959015864567584
140	1082.1	1059.076198499208	1105.1238015007918	0.021276962850745713	2.7	1.2673004635973724	4.132699536402628	0.5306294579268992	8915.2	8891.854070455809	8938.545929544192	0.0026186658228857756
141	1082.1	1059.076198499208	1105.1238015007918	0.021276962850745713	2.5	1.1406127260965364	3.8593872739034634	0.5437549095613854	8915.4	8892.031187773266	8938.768812226734	0.0026211737248732258
142	1082.0	1059.021807730241	1104.978192269759	0.021236776589425885	2.1	1.009879109125691	3.1901208908743093	0.5191051861306234	8915.9	8892.819467671592	8938.980532328407	0.002588693494589154
143	1082.0	1059.021807730241	1104.978192269759	0.021236776589425885	1.6	0.6343417761580558	2.5656582238419445	0.6035363899012152	8916.4	8893.256118803683	8939.543881196316	0.002595653088277409
144	1082.0	1059.021807730241	1104.978192269759	0.021236776589425885	1.2	0.19963646324975914	2.200363536750241	0.8336362806252007	8916.8	8893.708753818482	8939.891246181516	0.002589633745460003
145	1082.0	1059.021807730241	1104.978192269759	0.021236776589425885	1.0	0.1077931828876022	1.8922068171123978	0.8922068171123978	8917.0	8893.93043296874	8940.06956703126	0.002587144446704049
146	1081.8	1058.8099332060758	1104.790066793924	0.021251679417567084	1.2	0.0416027418934346	2.3583972581065655	0.9653310484221378	8917.0	8893.93043296874	8940.06956703126	0.002587144446704049
